place_id,name,address,lat,lng,website,google_maps_url,primary_type,business_status,neighbourhood
ChIJNdmgdPdzhlQRPR6J87ewKck,Trafiq Cafe & Bakery,"4216 Main St, Vancouver, BC V5V 3P9, Canada",49.2473288,-123.1009045,http://trafiq.ca/,https://maps.google.com/?cid=14495311179780005437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery,OPERATIONAL,Main Street
ChIJtZ1vTmVzhlQRKYtkWL3vwHs,Foglifter Coffee Roasters,"3590 Main St, Vancouver, BC V5V 3N4, Canada",49.2531182,-123.1007379,http://www.fogliftercoffee.com/,https://maps.google.com/?cid=8917390858704423721&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Main Street
ChIJIboWjC5zhlQR_gjGB_hf8to,Mishmish,"3485 Fraser St, Vancouver, BC V5V 0J1, Canada",49.2538644,-123.0902091,https://mishmish.ca/,https://maps.google.com/?cid=15776777963519215870&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
ChIJl9I8XuNzhlQRAQr1-4RURPk,Caffe Mira,"3136 Main St, Vancouver, BC V5T 3G7, Canada",49.2568449,-123.1010004,http://www.caffemira.com/,https://maps.google.com/?cid=17961574143999937025&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Main Street
ChIJY70BasJzhlQRFEHaebI8JgU,Sweet Thea Bakery,"4789 Main St, Vancouver, BC V5X 3H3, Canada",49.2427663,-123.1015994,http://www.sweetthea.com/,https://maps.google.com/?cid=371050756550836500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery,OPERATIONAL,Main Street
ChIJmaXZ_KhxhlQRLi-vU-PIKUw,Mercato di Luigi Mount Pleasant,"580 E 12th Ave, Vancouver, BC V5T 0H9, Canada",49.2595184,-123.0913208,https://mercatodiluigi.com/,https://maps.google.com/?cid=5488138499614781230&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant,OPERATIONAL,Main Street
ChIJixK5WvpzhlQREm9WCjjDUbY,Liberty Bakery + Café,"3699 Main St, Vancouver, BC V5V 3N6, Canada",49.251916,-123.1012221,http://liberty-bakery.com/,https://maps.google.com/?cid=13137496233475469074&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery,OPERATIONAL,Main Street
ChIJ7RQhju9zhlQR2Z0mfE2A_2E,The Mighty Oak,"198 W 18th Ave, Vancouver, BC V5Y 2A5, Canada",49.2545595,-123.1096174,https://themightyoak.ca/,https://maps.google.com/?cid=7061503811023969753&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Main Street
ChIJZzxdHW9xhlQRKS9s0XXYUZQ,Nemesis Coffee GNW,"555 Great Northern Wy, Vancouver, BC V5T 1E1, Canada",49.267036,-123.0925892,https://www.nemesis.coffee/,https://maps.google.com/?cid=10687561391263199017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Mount Pleasant
ChIJc4flUnpzhlQR8POkv22_Qac,Nana's Green Tea,"159 W 4th Ave, Vancouver, BC V5Y 1G4, Canada",49.2675866,-123.1085517,https://sevenleavestea.com/,https://maps.google.com/?cid=12052124555907757040&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,japanese_restaurant,OPERATIONAL,Mount Pleasant
ChIJ7yPsb0ZzhlQRNImVVhLe8tE,Thierry Mount Pleasant,"265 E 10th Ave, Vancouver, BC V5T 4V1, Canada",49.2620964,-123.099849,https://www.thierrychocolates.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,https://maps.google.com/?cid=15128398268634335540&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Mount Pleasant
